"latitude","longitude"
46,105
37.3961,-121.9617
59.2,17.6167
53.45,-2.6167
53.9,27.5667
14.7933,120.8751
53.7933,-1.6638
-36.8667,174.7667
22.3167,85.3333
47.6145,-122.348
-33.295,-66.3356
49.75,6.1667
57.1522,65.5272
40.0548,-75.4083
23.2667,77.4
52.8549,22.5124
37.9833,23.7333
34.2047,-118.3024
-39.9333,175.05
33.6119,-111.8906
59,26
39.9607,-75.6055
46.9167,25.3333
47.1167,51.8833
49.8833,-97.1667
44.6307,-93.3034
55.9142,37.8256
35.9726,-81.5513
36.6915,-79.8725
39.6155,-75.7044
22.2833,114.1833
47.6201,-122.1408
51.553,7.5385
45.5171,-122.6802
26.6217,-81.8406
40.3953,49.8822
37.5538,-77.4603
43.6699,-79.3887
38.6273,-90.1979
48.8634,2.506
-32.9139,-60.6819
55.154,61.4291
14.6488,121.0509
33.8042,74.2583
49.1337,-122.3434
51.5857,6.0201
57.5433,11.9428
48.15,17.1167
22.1667,113.55
12.6664,100.9007
42.4485,-76.4804
40.1811,44.5136
27.0112,49.6583
27.9839,-82.7181
39.0023,-84.6569
36.7328,34.6442
54.2021,37.6443
34.9393,-79.7739
45.8564,15.8078
12.1508,-86.2683
40.2887,-3.7903
47.378,8.5234
19.0667,-98.3
32,-5
11.1,77.35
12.1167,-61.6667
41.725,44.7908
33.5928,-7.6192
51.7373,36.1873
46.8717,35.4646
5.6,100.65
33.793,-84.4432
46.5667,23.7833
1,38
-22.3667,-47.3833
47.55,9.75
-23.7,-46.6167
57.1914,39.4139
37.7898,-122.3942
32.7714,-97.2915
30.2312,-97.717
-3.3167,-41.4167
32.8807,-117.2359
41.65,-4.7167
56.8498,53.2045
38.9881,-77.4755
36.1473,-86.777
-24,-46.2667
33.7071,-84.3823
49.4478,11.0683
51.1811,71.4278
51.4333,6.8833
18.2273,-66.058
28.4604,119.9103
40.4169,-74.2579
47.8694,11.4686
37.987,-1.13
41.2599,-73.2076
39.6291,-77.7128
45.05,25.7833
33.7516,-84.3915
34.6333,134.9833
36.5658,139.8836
53.0959,49.9462
53.9168,30.3449
32.2942,-64.7839
22.6333,120.35
31.711,49.1193
42.8,27.2833
40.8221,-74.4564
41.2167,16.0667
49.5937,34.5407
33.6451,-117.6786
30.0086,31.2122
41.4444,-8.2962
47,29
55.5725,39.5368
3.4372,-76.5225
50.8333,4.3333
35,33
14.8003,120.5288
47.1667,27.6
42.768,-78.5801
55.897,37.4297
29.5862,-98.4765
40.4249,-86.9162
-32.9468,-60.6393
33.0362,-96.6712
40.6932,-8.4799
41.7239,123.2017
19.2,72.9667
34.6853,135.8328
31.5497,74.3436
46.4639,30.7386
22.4667,87.15
40.5958,-74.1525
55.6475,12.312
19.05,-98.2
26.1223,-80.1434
37.9291,-95.2807
5.647,100.4877
39.7151,-75.7306
32.7831,-96.8067
43.1211,131.9226
49.8407,24.0305
51.672,39.1843
38.9266,-77.3936
46,15
52.0074,5.9654
43.8167,11.1333
40.925,-98.342
36.8333,-2.6333
24.08,120.5425
31.95,35.9333
44.6955,-84.0896
37.6543,-121.8552
40.7251,-73.707
29.85,76.6667
-37.7667,145
33.8379,-84.3846
42.2,24.3333
43.5167,13.3833
7.1988,100.5951
32.8148,-96.8705
41.4619,-87.0008
47.6102,-122.3043
45.5333,9.4833
-27.483,-58.9358
46.4667,24.5
33.6275,-117.8734
34.0667,131.0333
45.8025,20.1258
59.6667,10.8
21.15,79.1
50.2584,19.0275
-34.7483,-58.5879
5.2999,100.2605
26.0212,-80.1895
52.0892,6.4493
52.0278,4.5123
9.9333,-84.0833
51.2101,16.1619
61.7961,34.3493
35.5833,139.765
38.8766,-6.9684
47.4833,6.8333
46.8488,-92.2032
27.9379,-82.2364
32.8508,35.0703
40.6705,-74.1064
40.6921,-74.4718
45.6255,9.0373
37.4989,126.7831
50.2796,127.5405
-15,30
57.3319,10.5225
42.3314,-83.0457
51.2167,4.4167
12.8333,79.7167
45.7494,21.2272
46.7667,23.6
34.2868,-118.614
37.1791,-80.3515
37.7083,-97.2251
30.3167,78.0333
44.4833,11.3333
40.7669,29.9169
28.0499,-82.3625
36.0097,-115.1479
51.65,6.1833
33.4976,-84.3807
23.9167,87.5333
37.7528,42.798
32.8524,-97.288
10.9833,106.65
49.2,16.6333
57.3894,21.5606
16.0678,108.2208
29.7221,-95.6407
49.4216,26.9965
36.7646,-76.199
-20,30
33.2778,105.6269
55.5669,38.2303
18.3685,-66.1651
42.4734,-83.2219
52.4,7.3
-12.9833,-38.5167
33.6793,-117.9055
40.7709,-74.2369
53.1835,50.1182
28.35,79.4167
-2.1667,-79.9
35.7355,51.5291
22.6167,104.1667
21.1667,-86.8333
43.5995,1.4332
35.6911,-0.6417
47.8752,18.9355
10.5,-66.9167
45.4667,8.9833
37.6564,126.835
51.4008,16.2034
43.3274,-79.7989
24.6537,46.7152
45.2667,27.9833
21.5169,39.2192
51.5833,-0.3833
45.0448,38.976
17.9833,-92.9167
-37.8,145.2833
20.9667,72.9
45.6189,20.0361
37.7909,-122.4017
62,10
47.8443,19.303
35.0757,-106.6406
18.2009,-66.3073
31.9339,34.9856
22.3167,114.1667
39.6969,-75.125
6.1333,102.2386
49.2273,-122.6883
40.8424,-73.8556
10,-84
35.8569,139.6489
42.3451,-71.0993
-25.7704,28.0807
35.8833,139.7833
39.4942,-76.9115
29.7346,-95.416
39.4968,-75.0157
33.9269,-117.8612
39.6478,-104.9878
42.3,13.9667
50,8.2711
33.9412,-84.2135
6.121,100.3601
45.55,9.3
65.3333,21.5
42.2063,-97.5723
10.8691,121.0381
59.4833,17.75
45.5667,-73.2
-2.5167,-44.2667
-25.7069,28.2294
41.5833,12.8167
17.45,78.5
34.4436,-118.6095
-34.7242,-58.2526
23.0333,72.6167
41.1753,1.3244
-10.2228,-48.2778
32.8304,-83.6486
43.1333,12.3667
34.7833,135.4667
43.3433,17.8081
-1.45,-48.4833
-23.1833,-45.8833
24.5133,117.6556
6.8,-58.1667
41.1496,-8.611
41.2501,-81.4577
51.45,-2.5833
51.75,11.9667
-27.8833,153.1333
36.1979,-115.266
34.2387,-118.2468
-23.4132,-46.0377
35.9251,-88.7858
38.9148,-77.4883
37.7217,-122.4444
39.2008,-95.4331
-22.7167,-47.6333
50.0524,21.4148
-23.6,-46.7667
40.3254,-74.0579
47.0354,8.2763
14.5525,121.0678
32,35.25
46.1889,18.2606
18.6667,105.6667
44.2761,-90.7962
39.1535,-77.0753
25.9376,-81.6977
36.3333,139.0167
68.7019,15.4239
40.3958,-74.3255
42.5324,-70.9736
41.0208,40.5219
-27.5833,-48.5667
26.7153,-80.0534
47.3717,8.0797
33.968,-117.3194
45.3905,-91.6764
37.2683,48.4419
34.3439,-81.0914
-42.8832,147.3317
40.386,-79.0203
55.5796,36.7039
37.2911,127.0089
29.9105,-98.1723
-23.4507,-46.5262
48.7059,2.2402
44.5888,33.5224
-9.6667,-35.7167
37.3721,-121.8643
43.25,27.8167
37.6866,-122.1569
40.1808,-77.2139
44.0483,6.8698
46.5399,6.5881
49.4958,5.9806
40.1158,-75.2842
14.595,121.0775
-33.9,150.9333
44.55,10.7833
33.5641,-83.8439
51.2167,6.7667
40.8152,-73.3624
28.4667,77.0333
10.9925,76.9614
44.0667,28.6333
60,-95
42.6,23.0333
40.5,47.5
48.9856,2.3474
28,3
58.5826,50.5376
48.8302,4.9856
35.45,139.65
16.7,81.1
26.2442,-80.2059
39.5272,8.5994
-33.9258,18.4232
39.6734,-75.7052
27.9924,-15.4192
11,-61
35.7093,-80.4523
41.9463,-87.8127
52.2538,4.5475
41.7,15.7333
31.8972,54.3675
43.75,-79.2
34.0977,-83.7762
52.3083,6.5196
10.3997,-75.5144
64,26
34.1463,-118.4293
-21.3,-50.3167
46.9992,5.1514
18,79.5833
-8.0657,111.9025
48.3852,-89.242
37.7312,-122.3826
60.4833,15.4167
5.8333,-55.1667
47.5038,8.5473
-37.7667,144.9667
40.5045,-74.347
45.3155,-75.837
41.973,-71.6422
30.2832,57.0788
40.6659,-73.6395
27.9578,-82.4622
41.7776,-72.6214
41.8745,-87.6503
18.4208,-66.0616
37.4686,127.7747
40.2884,-74.0195
59.75,31.0667
33.4802,-117.6141
40.7143,-74.006
52.2195,6.8912
33.0017,-96.8441
38.8922,-76.7681
51.4463,6.6396
40.782,-73.4739
45.8,16
35.6706,139.8886
52.55,19.7
34.1792,-118.4616
37.3824,-5.9761
19.4667,72.8
47.6539,19.498
37.7375,-121.4258
2.3804,102.2089
34.5,133.5
51.1667,4.1333
52.2609,5.6131
53.2167,6.55
37.3558,-5.9795
52.71,5.7512
-20.9333,-48.4667
28.601,-96.699
51.05,13.75
59.2667,18.1167
1.2,104
45.6167,8.85
55.739,12.577
38.8312,-104.8082
35,135.75
25.7906,-80.13
52.4167,16.9667
15.1819,145.7567
16.2667,-61.5833
41.3225,-85.1388
44.0833,8.15
3.1833,101.7
39.5407,-84.2212
34.5667,136.5333
34.2281,-84.178
10.3111,123.8917
45.0156,78.3739
40.7354,-73.8783
36.6753,-75.9161
26.3094,127.7703
43.6619,-79.3952
34.2719,-118.4572
53.5833,16.55
35.3917,-97.4816
47.25,26.7333
40.6259,-75.3705
36.8387,54.4347
40.5961,-73.9732
1.5758,110.4039
36.219,-80.8126
25.7631,-80.1911
55.0038,50.0549
34.2205,-77.8702
34.4021,-118.8395
51.3717,12.3321
40.7608,-111.8911
40.2379,-105.4264
49.0168,12.0954
-23.2133,-47.5231
34.1015,-84.5194
-20.2667,-50.2333
35.3231,139.3422
5.9749,116.0724
53.1938,22.3832
42.3646,-71.1028
38.9,16.5833
44.9167,7.6667
36.0458,113.0442
33.9415,-118.1307
19.3,-81.3833
42.6858,26.3292
33.2479,-111.7895
46.1889,9.0247
35.3366,-80.7958
-8.2833,-35.9667
32.9014,-117.2079
40.1917,29.0611
38.6143,-90.4444
55,73.4
32.8473,-117.2742
14.1,-87.2167
40.7214,-74.0052
22.9933,120.2036
33.9864,-118.0884
34.4264,-117.3009
26.9167,75.8167
43.877,-79.2578
17,-4
40.9559,-74.5418
-20.4,-49.9833
51.6167,8.35
3.0333,101.7167
39.7684,-86.158
34.7,137.7333
40.3223,-3.865
10.6677,122.9533
45.85,11
-19.8333,-43.1333
41.1532,-85.481
-23.4833,-46.35
40.214,-75.073
56.3,38.1333
48.3647,-119.2704
51.4721,-0.0477
53.7763,15.7755
34.0067,-118.3455
37.9667,13.1833
43.5333,26.5167
-34.4714,-58.5078
26.1209,-80.1273
46.9167,26.3333
45.3833,27.05
35.5735,-80.6012
46.55,11.7667
42.7167,12.1167
41.6325,-85.3792
52.4167,-1.55
41.5074,-81.6053
26.7616,-80.0916
51.2904,7.2972
39.7392,-104.9847
41.8032,-88.1341
42.498,-83.4072
20.8802,-156.4689
57.0291,40.3727
33.8333,35.8333
53.55,10
18.4167,-64.6167
44.3833,27.8333
52.6031,39.5708
45.1167,7.3833
34.133,-84.3005
40.0793,-75.3016
40.6848,14.7612
-20.3833,-43.4167
36.1511,-115.1105
47.7826,19.928
-33.9715,151.2393
33.9681,-84.2304
46.0754,18.2328
44.9333,25.45
47.7258,38.2205
40.4945,-7.5921
-7.1167,-34.8667
-20.35,-49.2
-23.7,-46.55
-32.0242,115.8417
42.3616,-71.0674
-37.9833,145.2
41.235,-80.4971
50.9778,-0.1027
-25.3167,-57.6
48.7395,-122.4809
53.55,-113.5
30.6131,-96.3217
33.9609,-83.3779
37.459,-122.1781
51.3828,5.5715
37.5483,-121.9886
45.1667,28.8
36.5083,-4.8823
34.1519,-118.6002
35.7167,140.2333
38.9833,16.5833
3.1137,101.8142
40.9697,-74.3042
44.8528,65.5092
38.0833,15.1333
42.5973,-82.878
47.5121,-67.3925
44.9572,34.1108
50.348,18.9328
36.728,-4.4257
43.6892,-79.7079
40.0481,-105.3842
45.6333,25.5833
32.1472,34.8417
52.9931,16.914
44.95,25.8333
-25.4167,-49.25
47.65,11.1167
41.7694,-71.4676
46.4134,17.3804
35.5531,139.3544
43.4667,13.0333
56.8605,35.876
45.503,-73.5679
41.3167,16.2833
43.6441,-79.3801
-33.8167,150.9667
36.6736,48.4787
34.0625,-118.1228
60.1756,24.9342
40.566,-74.1258
52.4921,13.4137
43.8777,-79.4359
26.3483,-80.1585
40.3409,-76.4113
49.7989,73.0994
21.343,-157.9349
35.8355,51.0103
51.1728,7.094
37.6783,-120.9501
44.8033,22.9719
52.9692,-122.5057
11.65,78.1667
34.7667,135.4167
15.8333,78.05
42.0152,-87.9901
51.5142,-0.0931
41.878,-88.0163
42.9333,25.8833
53.8333,10.0167
31.7833,119.9667
15.8,108.1167
34.4954,-117.3686
18.7904,98.9847
60.6,15.6333
18.0333,78.2667
-26.8833,-48.65
40.7557,-73.5876
40.7622,-73.9121
49.2658,-123.1151
52.1695,-106.5869
52.1661,10.5514
39.0335,-77.4838
35.35,136.6167
51.9,0.2
34.9249,-81.0251
41.3464,21.5544
54.6333,23.95
44.4938,11.3387
41.2639,-74.3634
52.7317,41.4433
23.4806,120.4494
-33.939,151.1862
51.55,0.2167
35.7721,-78.6386
22.35,114.2
