bitly.link.id	ts	click.count	long.url
LVmYVT	2014-01-25 18:50:09	2	http://zxxgqkuyw.myftp.org/duwjzt0wahsbmel1scds6s4wjrrrbtg
LVmYVX	2014-01-25 18:50:10	0	http://zxxgqkuyw.myftp.org/fhmor8qydq4azca7vghotupfcof0tdb
LVmYFz	2014-01-25 18:50:08	2	http://zxxgqkuyw.myftp.org/h6zeuvflrbsvzltffk9vqrqg8120aqtrtx3zn1lyw
LVn0NK	2014-01-25 18:50:08	21	http://zxxgqkuyw.myftp.org/3vj56mwx3fsnkvbhzjchauikbhaejimqvqggdkzua
LVmYFx	2014-01-25 18:50:08	2	http://zxxgqkuyw.myftp.org/bx10w0m10vziakzzvdlqvrnpijbajgdvo98s
LVmYFt	2014-01-25 18:50:08	1	http://zxxgqkuyw.myftp.org/0rnnxzxp9rhnkusitytfzfz2pj3hz0dqh92tiliptv8f
LVn0NH	2014-01-25 18:50:07	8	http://zxxgqkuyw.myftp.org/mfsza6iztwzpfqvdf3qhkgpazgpxjdd9rvjeiq
LVn0Nx	2014-01-25 18:50:07	0	http://zxxgqkuyw.myftp.org/h8kgoqjt0klpxwj7kjjz6vr1oab42xxiadrpn8a
LVmYoZ	2014-01-25 18:50:07	0	http://zxxgqkuyw.myftp.org/znkbmv4oxxskhzgruaw4jqvzvrp0z0tk4rgtl8
LVn0xd	2014-01-25 18:50:07	4	http://zxxgqkuyw.myftp.org/epmglllr5zzgpxym1g82w4ygjvvumsyuyihtfzmuv95rp
LVmYoU	2014-01-25 18:50:06	0	http://zxxgqkuyw.myftp.org/iehncz8evmwdocfzx99zf2tz19oq298
LVn0x7	2014-01-25 18:50:06	1	http://zxxgqkuyw.myftp.org/osoz9vci67ltgzp0fzfloosiufga683u5p
LVmYoX	2014-01-25 18:50:06	4	http://zxxgqkuyw.myftp.org/izbjrvtlxwsxarfdmdurzcyzgt4ebga8kqzpoexrga
LVn0x2	2014-01-25 18:50:06	0	http://zxxgqkuyw.myftp.org/66eldntsubajhdckzesyk62gzlvgrnkzejfdxxdltkuhifpwbw
LVmY8v	2014-01-25 18:50:05	7	http://zxxgqkuyw.myftp.org/b0prodlkjguavmsmwrzj6pbgzdaic0p91kwpxnlrlzt
LVn0gH	2014-01-25 18:50:05	0	http://zxxgqkuyw.myftp.org/cbyjsjjbaricksjvk28wzrefzxhhag1v30ad8vxmsi
LVmY8D	2014-01-25 18:50:05	0	http://zxxgqkuyw.myftp.org/zocwf8xanj7t9yznpr7fgznxpby2fgnkxcgy1afere8ocinwx6
LVmY8t	2014-01-25 18:50:05	5	http://zxxgqkuyw.myftp.org/9syw9r0zivlbd9jmdeg629nsillw4antt5nxzapq
LVmi2U	2014-01-25 18:45:16	0	http://lxkwqjw.myftp.org/3zn7ytcwz7kgr2fwqyxvjsavpmrhvpxhgrjszlv7tl0hp
LVmgIc	2014-01-25 18:45:16	5	http://lxkwqjw.myftp.org/3cz0zmqi0hhgdo1029ry3gksc20lthwbfrveq2
LVmgrW	2014-01-25 18:45:16	0	http://lxkwqjw.myftp.org/dazzakbwvzjfbi8cg0wclcufrvxfam7o2
LVmgrY	2014-01-25 18:45:16	7	http://lxkwqjw.myftp.org/0a8c4cysppdau9idjldozy1vpwlgxp2j96iyj6
LVmi2O	2014-01-25 18:45:15	1	http://lxkwqjw.myftp.org/yhn4a4voezzbvw4bdzzrixfcekidjhzgderfbfit55
LVmgrU	2014-01-25 18:45:15	0	http://lxkwqjw.myftp.org/misqhfw6hnxxukjixkkyz73hiq6ejixfmb4oznwvdhfjeqo
LVmgbm	2014-01-25 18:45:15	0	http://lxkwqjw.myftp.org/d27rwn2nhukmq1a3z2g4r2ld1fohzvsa3adfqglliffpptzhn
LVmgrQ	2014-01-25 18:45:15	0	http://lxkwqjw.myftp.org/xtkzu0aflvcvbtkcjzb1c7hwznqbzgymf6auguv5e
LVmgrI	2014-01-25 18:45:15	0	http://lxkwqjw.myftp.org/wo4tinzolxsrsk9xyykbzcliuxylnnjdairztutogkj0in9
LVmhMy	2014-01-25 18:45:14	1	http://lxkwqjw.myftp.org/1al0cwiupbtylpf9ir8rzbbfovkzsvuikcrwa6q3hzie
LVmhMw	2014-01-25 18:45:14	0	http://lxkwqjw.myftp.org/mpmnxekajzzthtbfke44zpxoidzvevecwg
LVmgbt	2014-01-25 18:45:14	2	http://lxkwqjw.myftp.org/radxphvmbounarx54ztsxbbjdrcaejkxorvajtlsy
LVmhMq	2014-01-25 18:45:13	0	http://lxkwqjw.myftp.org/vbndrwnhzmiaovizaduoxjets7ygo
LVmhMo	2014-01-25 18:45:13	0	http://lxkwqjw.myftp.org/zwjrux7zrord4snk7zyjbsa0x4xgnpqoskx7ji04gv7ax6
LVmhvW	2014-01-25 18:45:13	0	http://lxkwqjw.myftp.org/ortu1anjzxz4gjxdjpkms5nrxzyscwzqnqbkctjgbe
LVmgbp	2014-01-25 18:45:13	0	http://lxkwqjw.myftp.org/zv9ebyqoswfxkyxss5pcdznx9ajuttcwobenwk0zzpoz
LVmhMg	2014-01-25 18:45:12	0	http://lxkwqjw.myftp.org/8grcv074xthkroptiabnzh34akcqeazgx3kisccg6ceh
LVmgbf	2014-01-25 18:45:12	1	http://lxkwqjw.myftp.org/csxyrocdihexzzvtdc5umchzvfucq1g9ogy9odxbe
LVmgbd	2014-01-25 18:45:12	2	http://lxkwqjw.myftp.org/v2wasvx2a7ajr5vb6zhtnvx2cnxnsojdfgoec9rscjhkzca
LVmhMk	2014-01-25 18:45:12	2	http://lxkwqjw.myftp.org/opzvwipt0lzj1enwcgzl5a8ikjywngqgnre5rti
LVmhMi	2014-01-25 18:45:12	0	http://lxkwqjw.myftp.org/ozyknsuz8stzpukf9e4tgsgjwigjvfyjc8qpawuez2gbkg61
LVmhvY	2014-01-25 18:45:12	9	http://lxkwqjw.myftp.org/g3xn0tzyfmmr3kody4wsjxmgkgnjdyukbiq4oc2phms9hab
LVmgbb	2014-01-25 18:45:12	13	http://lxkwqjw.myftp.org/ics2cbvchw2p965hclrzodwok4s7klssepa
LVmhfq	2014-01-25 18:45:11	4	http://lxkwqjw.myftp.org/xro1ge3ykcbvkgeqynnqz1lvcyyj47k
LVmhw0	2014-01-25 18:45:11	13	http://lxkwqjw.myftp.org/8kgcyjawlvxiew0uzd3wsplotjidapxitdsx
LVmhvU	2014-01-25 18:45:10	0	http://lxkwqjw.myftp.org/rakkgvbjaetrdzxuyr2oymvzoqqpw3uns
LVmfUR	2014-01-25 18:45:10	13	http://lxkwqjw.myftp.org/wh7kmur3fczfvoaeorj6edmtubci0886hklo4vjps0l6e40n
LVmhvQ	2014-01-25 18:45:10	0	http://lxkwqjw.myftp.org/ahzbjmfripgttzzpzjdva8xqnfijwpxfxggt3vgblx0llxcf
LVmfUJ	2014-01-25 18:45:10	2	http://lxkwqjw.myftp.org/oay3zrnoiwe3o22msecpvbokk7oxkgaeozkwgbelhxf8s1
LVmfUF	2014-01-25 18:45:09	5	http://lxkwqjw.myftp.org/tddp1leuvmtnkxjgzscmqbphd4x9zc9dq8
LVmhfw	2014-01-25 18:45:09	3	http://lxkwqjw.myftp.org/rfldiyyediczc6lilusfmrsoirck1umnkbk5y6rtuc
LVmfEp	2014-01-25 18:45:09	13	http://lxkwqjw.myftp.org/ru8bkzs8zz6v3fzrkq1vjhmhgnjhevhc4ec6vwlxevtl1icd
LVmhvK	2014-01-25 18:45:09	1	http://lxkwqjw.myftp.org/xgyolyql7riz8r2f6jmrctnfxr2ge9
LVmfUH	2014-01-25 18:45:09	15	http://lxkwqjw.myftp.org/zugyj5jcyrmszub6ks8brvmtuspqlulgbiihzhje
LVmgYU	2014-01-25 18:45:08	0	http://lxkwqjw.myftp.org/zkv9nfiqk8dslrdbovpy8qfzsbwin6uzsu0ax0b7
LVmhfs	2014-01-25 18:45:08	0	http://lxkwqjw.myftp.org/w61pjzpdhyxzq0hye9yj3ien2epc373
LVmfEi	2014-01-25 18:45:08	1	http://lxkwqjw.myftp.org/fqskkzdd4bpfnv9gudg9esz0sfuafxcayiffksgzz
LVmgYU	2014-01-25 18:45:08	0	http://lxkwqjw.myftp.org/zkv9nfiqk8dslrdbovpy8qfzsbwin6uzsu0ax0b7
LVmhfi	2014-01-25 18:45:07	2	http://lxkwqjw.myftp.org/duwjzt0wahsbmel1scds6s4wjrrrbtg
LVmhfe	2014-01-25 18:45:07	7	http://lxkwqjw.myftp.org/kvs7urzpzod7hpzooirbzqbslybysej
LVmfEd	2014-01-25 18:45:07	6	http://lxkwqjw.myftp.org/0lbuz4ufjgaxa3h1lyi3datklhgbtgsh6bsk3jrfxueer96
LVmfEg	2014-01-25 18:45:07	1	http://lxkwqjw.myftp.org/fhmor8qydq4azca7vghotupfcof0tdb
LVmgYQ	2014-01-25 18:45:06	0	http://lxkwqjw.myftp.org/0rnnxzxp9rhnkusitytfzfz2pj3hz0dqh92tiliptv8f
LVmfEb	2014-01-25 18:45:06	0	http://lxkwqjw.myftp.org/h6zeuvflrbsvzltffk9vqrqg8120aqtrtx3zn1lyw
LVmfE9	2014-01-25 18:45:06	13	http://lxkwqjw.myftp.org/3vj56mwx3fsnkvbhzjchauikbhaejimqvqggdkzua
LVmfEb	2014-01-25 18:45:06	0	http://lxkwqjw.myftp.org/h6zeuvflrbsvzltffk9vqrqg8120aqtrtx3zn1lyw
LVme3k	2014-01-25 18:45:05	0	http://lxkwqjw.myftp.org/znkbmv4oxxskhzgruaw4jqvzvrp0z0tk4rgtl8
LVmgYI	2014-01-25 18:45:05	3	http://lxkwqjw.myftp.org/epmglllr5zzgpxym1g82w4ygjvvumsyuyihtfzmuv95rp
LVmfnP	2014-01-25 18:45:05	4	http://lxkwqjw.myftp.org/mfsza6iztwzpfqvdf3qhkgpazgpxjdd9rvjeiq
LVmfnN	2014-01-25 18:45:06	1	http://lxkwqjw.myftp.org/h8kgoqjt0klpxwj7kjjz6vr1oab42xxiadrpn8a
LVme3c	2014-01-25 18:45:06	0	http://lxkwqjw.myftp.org/66eldntsubajhdckzesyk62gzlvgrnkzejfdxxdltkuhifpwbw
LVmfnL	2014-01-25 18:45:04	0	http://lxkwqjw.myftp.org/osoz9vci67ltgzp0fzfloosiufga683u5p
LVme3g	2014-01-25 18:45:04	0	http://lxkwqjw.myftp.org/iehncz8evmwdocfzx99zf2tz19oq298
LVme3i	2014-01-25 18:45:04	1	http://lxkwqjw.myftp.org/izbjrvtlxwsxarfdmdurzcyzgt4ebga8kqzpoexrga
LVmdMP	2014-01-25 18:45:03	4	http://lxkwqjw.myftp.org/b0prodlkjguavmsmwrzj6pbgzdaic0p91kwpxnlrlzt
LVme34	2014-01-25 18:45:03	1	http://lxkwqjw.myftp.org/cbyjsjjbaricksjvk28wzrefzxhhag1v30ad8vxmsi
LVmdMN	2014-01-25 18:45:03	0	http://lxkwqjw.myftp.org/9syw9r0zivlbd9jmdeg629nsillw4antt5nxzapq
LVme38	2014-01-25 18:45:03	1	http://lxkwqjw.myftp.org/zocwf8xanj7t9yznpr7fgznxpby2fgnkxcgy1afere8ocinwx6
LVkTcD	2014-01-25 18:35:17	11	http://sbskwi.myftp.org/3cz0zmqi0hhgdo1029ry3gksc20lthwbfrveq2
LVkTcz	2014-01-25 18:35:16	9	http://sbskwi.myftp.org/0a8c4cysppdau9idjldozy1vpwlgxp2j96iyj6
LVkUxg	2014-01-25 18:35:16	0	http://sbskwi.myftp.org/dazzakbwvzjfbi8cg0wclcufrvxfam7o2
LVkTcB	2014-01-25 18:35:16	0	http://sbskwi.myftp.org/3zn7ytcwz7kgr2fwqyxvjsavpmrhvpxhgrjszlv7tl0hp
